Id,Polygon_ID,Areakm,lon,lat
0,Grand_Manan_Basin,739.07576151300,-66.61666666670,44.48333333330
0,Grand_Manan_Basin,739.07576151300,-66.61666666670,44.70000000000
0,Grand_Manan_Basin,739.07576151300,-66.45000000000,44.81666666670
0,Grand_Manan_Basin,739.07576151300,-66.28333333330,44.78333333330
0,Grand_Manan_Basin,739.07576151300,-66.28333333330,44.66666666670
0,Grand_Manan_Basin,739.07576151300,-66.36666666670,44.55000000000
0,Grand_Manan_Basin,739.07576151300,-66.50000000000,44.48333333330
0,Grand_Manan_Basin,739.07576151300,-66.61666666670,44.48333333330
0,Roseway_Basin,3315.04935792000,-64.91666666670,43.26666666670
0,Roseway_Basin,3315.04935792000,-64.98333333330,42.78333333330
0,Roseway_Basin,3315.04935792000,-65.51666666670,42.65000000000
0,Roseway_Basin,3315.04935792000,-66.08333333330,42.86666666670
0,Roseway_Basin,3315.04935792000,-64.91666666670,43.26666666670
